Title,Price,Stock Availability
All the Light We Cannot See,£29.87,True
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",£10.90,True
Abstract City,£56.37,True
A Time of Torment (Charlie Parker #14),£48.35,True
A Study in Scarlet (Sherlock Holmes #1),£16.73,True
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",£56.48,True
A People's History of the United States,£40.79,True
A Man Called Ove,£39.72,True
A Distant Mirror: The Calamitous 14th Century,£14.58,True
A Brush of Wings (Angels Walking #3),£55.51,True
1491: New Revelations of the Americas Before Columbus,£21.80,True
"The Three Searches, Meaning, and the Story",£13.33,True
Searching for Meaning in Gailana,£38.73,True
Rook,£37.86,True
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,True
13 Hours: The Inside Account of What Really Happened In Benghazi,£27.06,True
Will You Won't You Want Me?,£13.86,True
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,True
The Star-Touched Queen,£32.30,True
The Silent Sister (Riley MacPherson #1),£46.29,True
