Title,Price,Stock Availability
The Shadow Hero (The Shadow Hero),£33.14,True
The Secret (The Secret #1),£27.37,True
The Regional Office Is Under Attack!,£51.36,True
The Psychopath Test: A Journey Through the Madness Industry,£36.00,True
The Project,£10.65,True
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,True
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,True
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,True
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,True
The Mistake (Off-Campus #2),£43.29,True
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,True
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,True
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,True
The Kite Runner,£41.82,True
The House by the Lake,£36.95,True
The Glittering Court (The Glittering Court #1),£44.28,True
The Girl on the Train,£55.02,True
The Genius of Birds,£17.24,True
The Emerald Mystery,£23.15,True
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,True
