Title,Price,Stock Availability
Frankenstein,£38.00,True
Forever Rockers (The Rocker #12),£28.80,True
Fighting Fate (Fighting #6),£39.24,True
Emma,£32.93,True
"Eat, Pray, Love",£51.32,True
Deep Under (Walker Security #1),£47.09,True
Choosing Our Religion: The Spiritual Lives of America's Nones,£28.42,True
Charlie and the Chocolate Factory (Charlie Bucket #1),£22.85,True
Charity's Cross (Charles Towne Belles #4),£41.24,True
Bright Lines,£39.07,True
Bridget Jones's Diary (Bridget Jones #1),£29.82,True
Bounty (Colorado Mountain #7),£37.26,True
Blood Defense (Samantha Brinkman #1),£20.30,True
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",£34.65,True
Beyond Good and Evil,£43.38,True
Alice in Wonderland (Alice's Adventures in Wonderland #1),£55.53,True
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",£57.06,True
A Spy's Devotion (The Regency Spies of London #1),£16.97,True
1st to Die (Women's Murder Club #1),£53.98,True
"1,000 Places to See Before You Die",£26.08,True
