Title,Price,Stock Availability
Shopaholic Ties the Knot (Shopaholic #3),£48.39,True
Paper and Fire (The Great Library #2),£49.45,True
Outlander (Outlander #1),£19.67,True
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36,True
No One Here Gets Out Alive,£20.02,True
Night Shift (Night Shift #1-20),£12.75,True
Needful Things,£47.51,True
Mockingjay (The Hunger Games #3),£20.44,True
Misery,£34.79,True
Little Women (Little Women #1),£28.07,True
It,£25.01,True
Harry Potter and the Sorcerer's Stone (Harry Potter #1),£13.90,True
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),£24.17,True
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,True
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,True
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,True
Gone with the Wind,£32.49,True
God Is Not Great: How Religion Poisons Everything,£27.80,True
Girl With a Pearl Earring,£26.77,True
"Fruits Basket, Vol. 4 (Fruits Basket #4)",£50.44,True
