Title,Price,Stock Availability
Alight (The Generations Trilogy #2),£58.59,True
A Girl's Guide to Moving On (New Beginnings #2),£31.30,True
A Game of Thrones (A Song of Ice and Fire #1),£46.42,True
A Feast for Crows (A Song of Ice and Fire #4),£17.21,True
A Clash of Kings (A Song of Ice and Fire #2),£10.79,True
Vogue Colors A to Z: A Fashion Coloring Book,£52.35,True
The Shining (The Shining #1),£27.88,True
The Pilgrim's Progress,£50.26,True
The Perfect Play (Play by Play #1),£59.99,True
The Passion of Dolssa,£28.32,True
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,£38.71,True
The Hunger Games (The Hunger Games #1),£29.85,True
The Hound of the Baskervilles (Sherlock Holmes #5),£14.82,True
The Gunning of America: Business and the Making of American Gun Culture,£16.81,True
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,£28.23,True
The Demonists (Demonist #1),£52.11,True
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",£27.88,True
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,True
The Beast (Black Dagger Brotherhood #14),£46.08,True
Some Women,£13.73,True
