Title,Price,Stock Availability
Mothering Sunday,£13.34,True
"Mother, Can You Not?",£16.89,True
M Train,£27.18,True
Lilac Girls,£17.28,True
Lies and Other Acts of Love,£45.14,True
Lab Girl,£40.85,True
Keep Me Posted,£20.46,True
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,True
Grey (Fifty Shades #4),£48.49,True
"Exit, Pursued by a Bear",£51.34,True
Daredevils,£16.34,True
Cravings: Recipes for What You Want to Eat,£20.50,True
Born for This: How to Find the Work You Were Meant to Do,£21.59,True
Arena,£21.36,True
Adultery,£20.88,True
A Mother's Reckoning: Living in the Aftermath of Tragedy,£19.53,True
A Gentleman's Position (Society of Gentlemen #3),£14.75,True
11/22/63,£48.48,True
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",£24.57,True
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,True
