Title,Price,Stock Availability
A Light in the Attic,£51.77,True
Tipping the Velvet,£53.74,True
Soumission,£50.10,True
Sharp Objects,£47.82,True
Sapiens: A Brief History of Humankind,£54.23,True
The Requiem Red,£22.65,True
The Dirty Little Secrets of Getting Your Dream Job,£33.34,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,True
The Black Maria,£52.15,True
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,True
Shakespeare's Sonnets,£20.66,True
Set Me Free,£17.46,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,True
Rip it Up and Start Again,£35.02,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,True
Olio,£23.88,True
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,True
Libertarianism for Beginners,£51.33,True
It's Only the Himalayas,£45.17,True
