Title,Price,Stock Availability
The Dream Thieves (The Raven Cycle #2),£34.50,True
The Darkest Corners,£11.33,True
The Crossover,£38.77,True
The 5th Wave (The 5th Wave #1),£11.83,True
Tell the Wind and Fire,£45.51,True
Tell Me Three Things,£41.81,True
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,£25.15,True
Siddhartha,£34.22,True
Shiver (The Wolves of Mercy Falls #1),£16.23,True
Remember Me?,£11.48,True
Red Dragon (Hannibal Lecter #1),£23.37,True
Peak: Secrets from the New Science of Expertise,£16.28,True
My Mother Was Nuts,£31.63,True
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,True
Maybe Something Beautiful: How Art Transformed a Neighborhood,£22.54,True
Lola and the Boy Next Door (Anna and the French Kiss #2),£23.63,True
Logan Kade (Fallen Crest High #5.5),£13.12,True
Last One Home (New Beginnings #1),£59.98,True
Killing Floor (Jack Reacher #1),£31.49,True
Kill the Boy Band,£15.52,True
