Title,Price,Stock Availability
Far From True (Promise Falls Trilogy #2),£34.93,True
Dark Lover (Black Dagger Brotherhood #1),£12.87,True
Confessions of a Shopaholic (Shopaholic #1),£48.94,True
Changing the Game (Play by Play #2),£13.38,True
Candide,£58.63,True
Can You Keep a Secret?,£21.94,True
Atlas Shrugged,£26.58,True
Animal Farm,£57.22,True
A Walk to Remember,£56.43,True
A New Earth: Awakening to Your Life's Purpose,£55.65,True
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",£27.62,True
'Salem's Lot,£49.56,True
Zero History (Blue Ant #3),£34.77,True
Wuthering Heights,£17.73,True
World War Z: An Oral History of the Zombie War,£21.80,True
Wild: From Lost to Found on the Pacific Crest Trail,£46.02,True
"Where'd You Go, Bernadette",£18.13,True
When You Are Engulfed in Flames,£30.89,True
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,£31.95,True
We Are All Completely Beside Ourselves,£24.04,True
