Title,Price,Stock Availability
World Without End (The Pillars of the Earth #2),£32.97,True
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",£47.31,True
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,£48.67,True
Where She Went (If I Stay #2),£41.73,True
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,£53.68,True
Two Summers,£14.64,True
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,True
The Secret Garden,£15.08,True
The Raven King (The Raven Cycle #4),£30.57,True
The Raven Boys (The Raven Cycle #1),£57.74,True
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,True
The Metamorphosis,£28.58,True
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,True
The Little Paris Bookshop,£24.73,True
The Hiding Place,£55.91,True
The Grand Design,£13.76,True
The Firm,£45.56,True
The Fault in Our Stars,£47.22,True
The False Prince (The Ascendance Trilogy #1),£56.00,True
The Expatriates,£44.58,True
