Title,Price,Stock Availability
The Silkworm (Cormoran Strike #2),£23.05,True
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",£55.55,True
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,True
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,True
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57,True
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),£10.92,True
The Rest Is Noise: Listening to the Twentieth Century,£34.77,True
The Red Tent,£35.66,True
The Purpose Driven Life: What on Earth Am I Here for?,£37.19,True
The Purest Hook (Second Circle Tattoos #3),£12.25,True
The Picture of Dorian Gray,£29.70,True
The Paris Wife,£36.80,True
The Obsession,£45.43,True
The Nightingale,£26.26,True
The New Guy (and Other Senior Year Distractions),£44.92,True
The Nanny Diaries (Nanny #1),£52.53,True
The Name of God is Mercy,£37.25,True
The Maze Runner (The Maze Runner #1),£20.93,True
The Lover's Dictionary,£58.09,True
The Lonely Ones,£43.59,True
