Title,Price,Stock Availability
"Fruits Basket, Vol. 2 (Fruits Basket #2)",£11.64,True
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),£52.88,True
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",£18.51,True
While You Were Mine,£41.32,True
Where Lightning Strikes (Bleeding Stars #3),£39.77,True
When I'm Gone,£51.96,True
Ways of Seeing,£39.51,True
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,True
Vampire Girl (Vampire Girl #1),£53.82,True
Twenty Love Poems and a Song of Despair,£30.95,True
Travels with Charley: In Search of America,£57.82,True
Three Wishes (River of Time: California #1),£44.18,True
This One Moment (Pushing Limits #1),£48.71,True
The Zombie Room,£19.69,True
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",£36.52,True
The Tumor,£41.56,True
The Story of Hong Gildong,£43.19,True
The Silent Wife,£12.34,True
The Silent Twin (Detective Jennifer Knight #3),£36.25,True
The Selfish Gene,£29.45,True
