Title,Price,Stock Availability
Without Shame,£48.27,True
Watchmen,£58.05,True
Unlimited Intuition Now,£58.87,True
Underlying Notes,£11.82,True
The Shack,£28.03,True
The New Brand You: Your New Image Makes the Sale for You,£44.05,True
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,True
The Flowers Lied,£16.68,True
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,True
The Book of Mormon,£24.57,True
The Art and Science of Low Carbohydrate Living,£52.98,True
The Alien Club,£54.40,True
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,True
Nap-a-Roo,£25.08,True
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",£10.41,True
Modern Day Fables,£47.44,True
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",£33.95,True
Dress Your Family in Corduroy and Denim,£43.68,True
Don't Forget Steven,£33.23,True
