Title,Price,Stock Availability
The Midnight Watch: A Novel of the Titanic and the Californian,£26.20,True
The Lonely City: Adventures in the Art of Being Alone,£33.26,True
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,£59.15,True
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,True
The Epidemic (The Program 0.6),£14.44,True
The Dinner Party,£56.54,True
The Diary of a Young Girl,£59.90,True
The Children,£11.88,True
Stars Above (The Lunar Chronicles #4.5),£48.05,True
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,£21.21,True
Raspberry Pi Electronics Projects for the Evil Genius,£49.67,True
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,True
Psycho: Sanitarium (Psycho #1.5),£36.97,True
Poisonous (Max Revere Novels #3),£26.80,True
One with You (Crossfire #5),£15.71,True
No Love Allowed (Dodge Cove #1),£54.65,True
Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,True
Most Wanted,£35.28,True
"Love, Lies and Spies",£20.55,True
How to Speak Golf: An Illustrated Guide to Links Lingo,£58.32,True
