Title,Price,Stock Availability
The Barefoot Contessa Cookbook,£59.92,True
Tell the Wolves I'm Home,£50.96,True
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,£30.60,True
Pride and Prejudice,£19.27,True
Musicophilia: Tales of Music and the Brain,£46.58,True
Mere Christianity,£48.51,True
Me Before You (Me Before You #1),£19.02,True
In the Woods (Dublin Murder Squad #1),£38.38,True
In Cold Blood,£49.98,True
How to Stop Worrying and Start Living,£46.49,True
Give It Back,£18.32,True
"Girl, Interrupted",£42.14,True
Fun Home: A Family Tragicomic,£56.59,True
"Fruits Basket, Vol. 6 (Fruits Basket #6)",£20.96,True
Deception Point,£40.32,True
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",£36.39,True
Catherine the Great: Portrait of a Woman,£58.55,True
Better Homes and Gardens New Cook Book,£39.61,True
An Unquiet Mind: A Memoir of Moods and Madness,£21.30,True
A Year in Provence (Provence #1),£56.88,True
