Title,Price,Stock Availability
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,True
A World of Flavor: Your Gluten Free Passport,£42.95,True
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,True
A Murder in Time,£16.64,True
A Flight of Arrows (The Pathfinders #2),£55.53,True
A Fierce and Subtle Poison,£28.13,True
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,True
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,True
You Are What You Love: The Spiritual Power of Habit,£21.87,True
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,True
Tuesday Nights in 1980,£21.04,True
Tracing Numbers on a Train,£41.60,True
Throne of Glass (Throne of Glass #1),£35.07,True
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,True
Thirteen Reasons Why,£52.72,True
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,True
The Wedding Dress,£24.12,True
The Vacationers,£42.15,True
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,True
The Stranger,£17.44,True
