Title,Price,Stock Availability
On the Road (Duluoz Legend),£32.36,True
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,True
Off Sides (Off #1),£39.45,True
Of Mice and Men,£47.11,True
Myriad (Prentor #1),£58.75,True
My Perfect Mistake (Over the Top #1),£38.92,True
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",£39.39,True
Meditations,£25.89,True
Matilda,£28.34,True
Lost Among the Living,£27.70,True
Lord of the Flies,£24.89,True
Listen to Me (Fusion #1),£58.99,True
Kitchens of the Great Midwest,£57.20,True
Jane Eyre,£38.43,True
Imperfect Harmony,£34.74,True
Icing (Aces Hockey #2),£40.44,True
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",£45.24,True
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),£34.96,True
"Giant Days, Vol. 1 (Giant Days #1-4)",£56.76,True
"Fruits Basket, Vol. 1 (Fruits Basket #1)",£40.28,True
