Title,Price,Stock Availability
Modern Romance,£28.26,True
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,True
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,True
Little Red,£13.47,True
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,True
Large Print Heart of the Pride,£19.15,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,True
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,True
Grumbles,£22.16,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,True
Frostbite (Vampire Academy #2),£29.99,True
Follow You Home,£21.36,True
First Steps for New Christians (Print Edition),£29.00,True
Finders Keepers (Bill Hodges Trilogy #2),£53.53,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,True
Eureka Trivia 6.0,£54.59,True
Drive: The Surprising Truth About What Motivates Us,£34.95,True
Done Rubbed Out (Reightman & Bailey #1),£37.72,True
Doing It Over (Most Likely To #1),£35.61,True
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,True
