Title,Price,Stock Availability
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,True
The Last Painting of Sara de Vos,£55.55,True
"The Land of 10,000 Madonnas",£29.64,True
The Infinities,£27.41,True
The Husband's Secret,£52.51,True
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),£47.80,True
The Guns of August,£14.54,True
The Guernsey Literary and Potato Peel Pie Society,£49.53,True
The Goldfinch,£43.58,True
The Giver (The Giver Quartet #1),£12.30,True
The Girl with All the Gifts,£49.47,True
The Girl Who Played with Fire (Millennium Trilogy #2),£22.14,True
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),£57.48,True
The Exiled,£43.45,True
"The End of Faith: Religion, Terror, and the Future of Reason",£22.13,True
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,True
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,True
The Devil Wears Prada (The Devil Wears Prada #1),£44.29,True
The Demon-Haunted World: Science as a Candle in the Dark,£52.25,True
The Day the Crayons Came Home (Crayons),£26.33,True
