Title,Price,Stock Availability
Jurassic Park (Jurassic Park #1),£44.97,True
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,£42.38,True
Is Everyone Hanging Out Without Me? (And Other Concerns),£20.11,True
Into the Wild,£56.70,True
Inferno (Robert Langdon #4),£41.00,True
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",£28.85,True
If I Run (If I Run #1),£49.97,True
I've Got Your Number,£19.69,True
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,£28.88,True
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,£33.14,True
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,True
House of Leaves,£54.89,True
Horrible Bear!,£37.52,True
Holidays on Ice,£51.07,True
Heir to the Sky,£44.07,True
Green Eggs and Ham (Beginner Books B-16),£10.79,True
"Grayson, Vol 3: Nemesis (Grayson #3)",£42.72,True
Gratitude,£26.66,True
Gone Girl,£37.60,True
Golden (Heart of Dread #3),£42.21,True
